name: 19038663-855b-491f-b44f-1c911398e7dc num_items: 3990
token, class_id, token_value, token_tf, token_df
новое, @default_class, 0.0009072927059605718, 2548.0, 1414.0
стоимость, @default_class, 0.0002923419524449855, 821.0, 426.0
дорогой, @default_class, 0.0001449246919946745, 407.0, 294.0
выбирать, @default_class, 0.00026527984300628304, 745.0, 514.0
остаться_прежний, @default_class, 6.409446086763637e-06, 18.0, 15.0
насекомое, @default_class, 4.985124633094529e-06, 14.0, 11.0
расставить, @default_class, 4.985124633094529e-06, 14.0, 14.0
относительно_небольшой, @default_class, 1.602361589903012e-05, 45.0, 44.0
defined, @default_class, 4.629044269677252e-06, 13.0, 11.0
клиентский_часть, @default_class, 7.121606813598191e-06, 20.0, 16.0
тестовый_окружение, @default_class, 5.697285359929083e-06, 16.0, 10.0
ядерный, @default_class, 9.258088539354503e-06, 26.0, 25.0
отказ, @default_class, 7.157214713515714e-05, 201.0, 137.0
давность, @default_class, 6.409446086763637e-06, 18.0, 18.0
гость, @default_class, 2.777426561806351e-05, 78.0, 56.0
повернуть, @default_class, 6.05336572334636e-06, 17.0, 14.0
мало_кома, @default_class, 3.5608034067990957e-06, 10.0, 10.0
lenovo, @default_class, 2.172089989471715e-05, 61.0, 24.0
факультет, @default_class, 4.629044269677252e-06, 13.0, 10.0
научить, @default_class, 3.382763316039927e-05, 95.0, 86.0
руководствоваться, @default_class, 1.1394570719858166e-05, 32.0, 28.0
вращение, @default_class, 2.2433061531046405e-05, 63.0, 43.0
лист_бумага, @default_class, 7.833767085685395e-06, 22.0, 19.0
итоговый_результат, @default_class, 4.985124633094529e-06, 14.0, 12.0
значение_переменный, @default_class, 3.560803452273831e-05, 100.0, 44.0
сила, @default_class, 0.00026706024073064327, 750.0, 522.0
поступить, @default_class, 3.667627606773749e-05, 103.0, 97.0
слоить, @default_class, 1.566753417137079e-05, 44.0, 34.0
равный_промежуток, @default_class, 4.985124633094529e-06, 14.0, 11.0
выполняться, @default_class, 0.00022824750340078026, 641.0, 392.0
выполнить_следующий, @default_class, 1.210673144669272e-05, 34.0, 28.0
море, @default_class, 4.985124633094529e-06, 14.0, 12.0
волшебный, @default_class, 1.0682409993023612e-05, 30.0, 29.0
адресный_пространство, @default_class, 5.697285359929083e-06, 16.0, 11.0
радиус, @default_class, 1.8516177078709006e-05, 52.0, 37.0
операционный_система, @default_class, 0.0002065266016870737, 580.0, 320.0
шаг, @default_class, 0.0003069412487093359, 862.0, 521.0
соединение, @default_class, 0.00016130440053530037, 453.0, 229.0
ваш_аккаунт, @default_class, 1.0326330084353685e-05, 29.0, 15.0
эталонный, @default_class, 7.833767085685395e-06, 22.0, 19.0
держать, @default_class, 7.050390559015796e-05, 198.0, 172.0
ассемблер, @default_class, 3.8100595702417195e-05, 107.0, 34.0
запросить, @default_class, 2.4925624529714696e-05, 70.0, 61.0
удобный_способ, @default_class, 1.103849081118824e-05, 31.0, 30.0
return_res, @default_class, 8.545927812519949e-06, 24.0, 13.0
подробно_рассмотреть, @default_class, 5.341204996511806e-06, 15.0, 14.0
дисциплина, @default_class, 1.1750651538022794e-05, 33.0, 27.0
огромный_потенциал, @default_class, 3.916883542842697e-06, 11.0, 10.0
проекция, @default_class, 7.4776871770154685e-06, 21.0, 15.0
жизненный, @default_class, 4.985124633094529e-06, 14.0, 14.0
аналогично_предыдущий, @default_class, 3.916883542842697e-06, 11.0, 10.0
звёздный_война, @default_class, 3.916883542842697e-06, 11.0, 10.0
текстовый_строка, @default_class, 6.765526450180914e-06, 19.0, 14.0
музыка, @default_class, 9.720992966322228e-05, 273.0, 146.0
переменный, @default_class, 0.00033293513115495443, 935.0, 355.0
доказать, @default_class, 4.878300751443021e-05, 137.0, 118.0
адаптация, @default_class, 3.4539792977739125e-05, 97.0, 73.0
начинка, @default_class, 7.833767085685395e-06, 22.0, 22.0
истинный, @default_class, 9.970249266189057e-06, 28.0, 26.0
выглядеть_неплохо, @default_class, 3.5608034067990957e-06, 10.0, 10.0
передавать, @default_class, 0.00024249071429949254, 681.0, 459.0
объект, @default_class, 0.0012242041993886232, 3438.0, 810.0
try, @default_class, 2.777426561806351e-05, 78.0, 41.0
очень_полезно, @default_class, 1.602361589903012e-05, 45.0, 42.0
велик_вероятность, @default_class, 3.5608034067990957e-06, 10.0, 10.0
головной_офис, @default_class, 4.2729639062599745e-06, 12.0, 10.0
core_i5, @default_class, 4.2729639062599745e-06, 12.0, 10.0
выглядеть, @default_class, 0.0005148921627551317, 1446.0, 939.0
открыть_браузер, @default_class, 6.765526450180914e-06, 19.0, 18.0
protected, @default_class, 1.103849081118824e-05, 31.0, 21.0
аутсорс, @default_class, 5.341204996511806e-06, 15.0, 13.0
номер, @default_class, 0.0002859325031749904, 803.0, 340.0
стоить, @default_class, 0.000690795830450952, 1940.0, 1145.0
расписать, @default_class, 7.4776871770154685e-06, 21.0, 20.0
game, @default_class, 6.409446086763637e-06, 18.0, 15.0
справляться, @default_class, 4.094923860975541e-05, 115.0, 105.0
video, @default_class, 3.5608034067990957e-06, 10.0, 10.0
with_the, @default_class, 1.4955374354030937e-05, 42.0, 33.0
спокойно, @default_class, 2.278914143971633e-05, 64.0, 62.0
ругаться, @default_class, 4.2729639062599745e-06, 12.0, 12.0
приятный, @default_class, 6.907958595547825e-05, 194.0, 168.0
рендёр, @default_class, 8.902008630684577e-06, 25.0, 17.0
сильный_слабый, @default_class, 7.833767085685395e-06, 22.0, 19.0
убрать, @default_class, 6.088973896112293e-05, 171.0, 158.0
index, @default_class, 2.7062105800723657e-05, 76.0, 40.0
активный_участие, @default_class, 5.697285359929083e-06, 16.0, 16.0
доступ, @default_class, 0.0005512123461812735, 1548.0, 767.0
наклон, @default_class, 4.2729639062599745e-06, 12.0, 11.0
плата, @default_class, 0.000159167917445302, 447.0, 206.0
довольно, @default_class, 0.0003065851633436978, 861.0, 595.0
управление, @default_class, 0.0007299646968021989, 2050.0, 961.0
mac_address, @default_class, 3.5608034067990957e-06, 10.0, 10.0
окружающий_пространство, @default_class, 3.916883542842697e-06, 11.0, 11.0
предлагаться, @default_class, 5.4124211601447314e-05, 152.0, 139.0
allow, @default_class, 3.5608034067990957e-06, 10.0, 10.0
сочетание_клавиша, @default_class, 6.765526450180914e-06, 19.0, 11.0
уступать, @default_class, 1.3887132809031755e-05, 39.0, 37.0
горизонталь, @default_class, 4.2729639062599745e-06, 12.0, 11.0
октябрь_2015, @default_class, 4.985124633094529e-06, 14.0, 13.0
скетч, @default_class, 1.1750651538022794e-05, 33.0, 15.0
максимальный_количество, @default_class, 3.0978990253061056e-05, 87.0, 61.0
лёгкий, @default_class, 9.934641275322065e-05, 279.0, 222.0
конвертер, @default_class, 8.189847903850023e-06, 23.0, 12.0
получаться, @default_class, 0.0002969710039906204, 834.0, 586.0
расширение, @default_class, 0.00019157122005708516, 538.0, 304.0
написание_код, @default_class, 3.0622908525401726e-05, 86.0, 73.0
